gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
0,0,0,0,52,1,1,0,1,0,0,1,1,1,2,1,1,79.75,4217.7998046875,0
1,0,1,1,69,1,1,0,1,0,1,1,0,0,2,1,1,64.1500015258789,4254.10009765625,0
1,1,0,0,43,1,1,1,0,1,0,0,1,0,0,1,2,90.25,3838.75,0
1,0,0,0,15,1,0,1,1,1,0,0,1,1,0,1,1,99.0999984741211,1426.4000244140625,1
1,1,1,0,25,1,1,0,1,0,0,1,1,0,0,1,1,69.5,1752.6500244140625,0
1,1,1,0,8,1,1,1,0,1,0,0,0,0,0,1,1,80.6500015258789,633.2999877929688,1
1,1,1,1,60,1,0,0,1,1,1,1,0,1,1,1,1,74.8499984741211,4456.35009765625,0
0,1,0,0,18,1,1,1,0,0,0,0,1,1,0,1,2,95.4499969482422,1752.550048828125,1
1,0,1,1,63,1,1,1,1,0,0,0,1,1,1,1,1,99.6500015258789,6311.2001953125,0
0,1,1,1,66,1,1,1,0,1,1,1,1,1,1,1,2,108.4499969482422,7076.35009765625,0
1,0,1,1,34,1,1,2,0,0,0,0,0,0,2,0,1,24.950000762939453,894.2999877929688,0
1,0,0,0,72,1,1,1,0,0,1,1,1,1,2,1,1,107.5,7853.7001953125,0
1,0,1,0,47,1,1,1,0,0,1,0,1,1,0,1,2,100.5,4707.10009765625,0
0,0,0,0,60,1,1,1,0,1,0,0,1,0,0,1,0,89.9000015258789,5450.7001953125,0
0,0,1,0,72,0,0,0,1,1,1,0,0,0,2,0,0,42.09999847412109,2962.0,0
1,0,1,1,18,1,0,0,0,0,1,1,0,0,1,1,1,54.400001525878906,957.0999755859376,0
1,0,0,0,9,1,1,1,0,0,0,0,1,1,0,0,2,94.4000015258789,857.25,1
1,0,0,0,3,1,0,0,0,1,0,1,1,1,0,1,2,75.30000305175781,244.1000061035156,0
0,0,1,0,47,1,1,1,0,1,0,0,0,0,1,1,2,78.9000015258789,3650.35009765625,0
1,0,0,0,31,1,0,0,0,1,1,1,1,1,2,0,3,79.19999694824219,2497.199951171875,0
1,0,1,1,50,1,0,2,0,0,0,0,0,0,2,0,0,20.149999618530277,930.9000244140624,0
0,0,0,0,10,1,0,1,1,0,1,0,0,0,0,1,3,79.8499984741211,887.3499755859375,0
0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,3,49.04999923706055,49.04999923706055,0
1,0,1,1,52,1,0,2,0,0,0,0,0,0,1,1,2,20.399999618530277,1090.6500244140625,0
0,1,1,1,64,1,1,1,1,0,1,1,1,1,2,1,0,111.5999984741211,7099.0,0
0,0,1,1,62,1,1,2,0,0,0,0,0,0,2,1,0,24.25,1424.5999755859375,0
1,0,0,1,3,1,0,0,1,0,0,1,0,1,0,1,0,64.5,177.39999389648438,0
1,1,0,0,56,1,1,1,1,1,1,0,1,1,1,0,2,110.5,6139.5,0
1,0,0,0,46,1,0,0,0,0,0,0,0,1,1,0,1,55.650001525878906,2688.85009765625,0
1,0,1,1,8,1,0,0,1,1,0,0,0,0,0,0,3,54.650001525878906,482.25,0
0,1,0,0,30,1,0,0,1,1,0,0,1,1,0,1,2,74.75,2111.300048828125,0
1,0,1,1,45,1,1,2,0,0,0,0,0,0,1,1,1,25.899999618530277,1216.5999755859375,0
1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,2,79.3499984741211,79.3499984741211,1
1,0,1,1,11,0,0,0,1,0,0,0,1,1,0,0,2,50.54999923706055,565.3499755859375,0
1,0,1,0,7,1,0,1,0,0,1,0,0,0,0,1,0,75.1500015258789,496.8999938964844,1
1,0,0,0,42,1,0,1,0,1,1,1,1,1,0,1,0,103.8000030517578,4327.5,0
1,0,1,0,49,1,0,2,0,0,0,0,0,0,2,1,0,20.149999618530277,973.3499755859376,0
0,0,0,0,9,1,1,1,0,1,0,0,1,1,0,1,1,99.3000030517578,918.75,0
1,0,1,0,35,1,0,0,1,0,0,0,1,0,1,1,0,62.150001525878906,2215.449951171875,0
1,0,1,1,48,1,0,2,0,0,0,0,0,0,2,0,0,20.649999618530277,1057.0,0
1,0,1,1,46,1,0,2,0,0,0,0,0,0,2,1,3,19.950000762939453,927.0999755859376,0
0,0,1,0,29,0,0,0,0,0,0,0,1,0,0,0,3,33.75,1009.25,0
0,0,1,1,30,1,0,1,0,1,1,0,0,0,0,0,0,82.05000305175781,2570.199951171875,0
0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,2,74.69999694824219,74.69999694824219,0
0,0,1,1,66,1,1,0,1,0,1,1,1,1,2,1,3,84.0,5714.25,0
1,0,0,0,65,1,1,1,1,1,1,0,1,1,0,1,1,111.0500030517578,7107.0,0
0,0,0,0,72,1,1,1,0,1,1,0,1,1,2,1,0,100.9000015258789,7459.0498046875,0
1,0,0,0,12,1,1,1,1,0,0,0,0,0,0,1,2,78.94999694824219,927.3499755859376,1
0,0,1,1,71,1,1,0,1,1,0,1,0,0,1,1,1,66.8499984741211,4748.7001953125,0
0,0,0,0,5,1,0,2,0,0,0,0,0,0,0,0,3,21.049999237060547,113.8499984741211,1
0,0,0,0,52,1,0,2,0,0,0,0,0,0,2,0,0,21.0,1107.199951171875,0
1,1,1,0,25,1,0,1,0,1,1,0,1,1,0,1,2,98.5,2514.5,1
0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,20.200000762939453,20.200000762939453,0
1,0,1,1,1,1,0,2,0,0,0,0,0,0,0,0,2,19.450000762939453,19.450000762939453,0
0,0,0,0,38,1,1,1,0,0,1,1,1,0,1,0,0,95.0,3605.60009765625,0
1,1,1,0,66,0,0,0,0,1,1,0,1,0,1,0,0,45.54999923706055,3027.25,0
0,0,1,0,68,1,1,1,0,1,1,1,1,1,2,1,0,110.0,7611.85009765625,1
0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,24.299999237060547,100.1999969482422,0
1,0,1,1,72,1,1,1,1,1,0,0,1,1,1,1,2,104.1500015258789,7303.0498046875,0
1,0,0,0,32,0,0,0,1,0,0,0,0,0,1,0,3,30.149999618530277,927.6500244140624,0
0,0,0,0,43,1,1,1,0,0,0,0,1,1,1,0,3,94.3499984741211,3921.300048828125,0
0,0,1,1,72,1,0,2,0,0,0,0,0,0,2,0,1,19.399999618530277,1363.25,0
0,0,1,0,55,1,1,1,1,1,0,0,1,0,0,1,2,96.75,5238.89990234375,1
1,0,0,0,52,1,0,0,1,0,1,1,0,0,1,0,1,57.95000076293945,3042.25,0
1,0,0,0,43,1,0,1,0,1,1,0,1,0,0,1,2,91.6500015258789,3954.10009765625,0
1,1,1,0,37,1,1,1,0,0,0,0,0,0,0,1,2,76.5,2868.14990234375,1
1,0,1,1,64,0,0,0,0,1,0,1,1,1,2,1,2,54.59999847412109,3423.5,0
0,0,1,1,3,1,0,1,1,1,0,0,1,0,0,0,2,89.8499984741211,248.3999938964844,0
1,0,0,0,36,0,0,0,1,0,0,0,0,0,2,0,0,31.049999237060547,1126.3499755859375,0
1,0,1,1,10,1,1,1,1,0,0,0,1,1,0,1,2,100.25,1064.6500244140625,1
1,0,0,0,41,1,0,2,0,0,0,0,0,0,2,0,3,20.649999618530277,835.1500244140625,0
0,0,1,1,27,1,1,1,0,1,0,1,0,0,0,1,1,85.19999694824219,2151.60009765625,0
1,0,1,1,56,1,1,1,0,0,1,0,1,1,1,1,1,99.8000030517578,5515.4501953125,0
1,0,0,0,6,1,0,2,0,0,0,0,0,0,0,0,3,20.700000762939453,112.75,0
0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,1,2,74.4000015258789,229.5500030517578,1
1,0,1,1,7,1,0,0,1,0,0,0,0,0,0,0,3,50.70000076293945,350.3500061035156,0
1,0,1,1,4,1,0,2,0,0,0,0,0,0,0,0,3,20.850000381469727,62.900001525878906,0
0,0,0,0,33,1,0,1,1,0,0,1,1,0,2,1,2,88.94999694824219,3027.64990234375,0
1,1,0,0,27,1,1,1,0,0,1,0,0,0,0,1,2,78.05000305175781,2135.5,1
0,0,1,0,72,1,1,2,0,0,0,0,0,0,2,1,0,23.549999237060547,1723.949951171875,0
0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,3,19.75,19.75,0
0,1,0,0,71,0,0,0,1,1,0,0,1,1,1,1,2,56.45000076293945,3985.35009765625,0
1,0,0,0,13,1,1,1,0,0,0,0,0,1,0,1,2,85.94999694824219,1215.6500244140625,0
1,0,1,1,25,0,0,0,1,1,1,0,1,1,0,1,1,58.59999847412109,1502.6500244140625,1
0,0,0,0,67,1,0,0,0,0,0,1,0,0,2,0,0,50.54999923706055,3260.10009765625,0
0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,2,35.45000076293945,35.45000076293945,1
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,44.34999847412109,81.25,1
1,0,0,0,43,1,1,2,0,0,0,0,0,0,2,1,1,25.700000762939453,1188.199951171875,0
1,0,0,0,23,1,0,1,1,0,0,0,0,0,0,1,0,75.0,1778.5,0
1,0,1,1,64,1,0,2,0,0,0,0,0,0,2,0,3,20.200000762939453,1277.75,0
0,0,0,1,57,1,0,2,0,0,0,0,0,0,2,1,3,19.600000381469727,1170.550048828125,0
1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,3,70.44999694824219,70.44999694824219,1
1,1,1,1,72,1,1,0,1,1,1,1,1,1,2,1,1,88.05000305175781,6425.64990234375,0
1,0,0,0,8,1,1,0,1,0,0,1,0,1,0,0,2,71.1500015258789,563.6500244140625,1
1,0,1,0,61,1,1,1,0,1,0,0,1,1,2,1,0,101.0500030517578,5971.25,0
0,0,0,0,64,1,1,1,1,1,0,0,0,0,1,1,1,84.30000305175781,5289.0498046875,0
0,1,1,0,71,1,1,2,0,0,0,0,0,0,2,0,0,23.950000762939453,1756.199951171875,0
1,0,1,1,65,1,1,1,1,1,0,1,1,0,2,1,1,99.0500030517578,6416.7001953125,0
0,0,0,0,3,1,0,2,0,0,0,0,0,0,1,0,3,19.600000381469727,61.34999847412109,0
0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,45.650001525878906,45.650001525878906,1
0,0,0,1,30,1,0,0,0,1,1,0,1,0,1,0,1,64.5,1929.949951171875,0
0,0,1,1,15,1,0,0,0,1,1,1,0,1,0,1,3,69.5,1071.4000244140625,0
1,0,1,1,8,1,0,0,0,0,0,1,1,1,0,1,2,68.55000305175781,564.3499755859375,0
0,0,0,0,7,1,1,1,0,0,0,0,1,1,0,0,3,95.0,655.5,1
1,0,1,1,70,1,1,1,1,1,1,0,1,1,1,1,1,108.1500015258789,7930.5498046875,0
0,0,1,1,62,1,0,0,1,1,1,1,1,1,2,0,2,86.0999984741211,5215.25,0
1,0,1,1,6,1,0,2,0,0,0,0,0,0,0,0,3,19.700000762939453,113.5,0
1,0,1,1,14,1,0,1,0,0,0,0,0,1,0,1,0,80.9000015258789,1152.800048828125,0
1,0,0,0,22,1,1,1,0,0,0,0,1,0,0,1,0,84.1500015258789,1821.949951171875,0
0,0,1,1,22,1,0,2,0,0,0,0,0,0,1,0,3,20.149999618530277,419.8999938964844,0
0,0,1,1,16,1,0,0,1,0,1,0,1,0,2,0,3,64.25,1024.0,0
0,0,0,0,10,1,1,2,0,0,0,0,0,0,2,0,0,25.700000762939453,251.6000061035156,0
1,0,0,1,13,1,0,0,1,1,0,0,0,0,0,1,2,56.0,764.5499877929688,0
1,0,1,0,20,1,1,1,1,0,0,0,0,0,0,0,2,82.4000015258789,1592.3499755859375,1
1,0,0,0,2,1,0,1,0,0,0,0,0,0,0,1,2,69.69999694824219,135.1999969482422,0
0,0,0,0,53,1,1,0,0,1,1,1,0,1,2,1,0,73.9000015258789,3958.25,0
1,0,1,1,11,1,0,2,0,0,0,0,0,0,1,0,3,20.600000381469727,233.8999938964844,0
0,0,1,0,69,1,0,2,0,0,0,0,0,0,2,0,3,19.899999618530277,1363.449951171875,0
1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,0,70.9000015258789,273.0,1
0,0,1,0,72,1,1,0,1,1,1,1,1,1,2,1,0,89.05000305175781,6254.4501953125,0
0,1,1,0,58,0,0,0,0,1,1,0,0,1,0,1,2,45.29999923706055,2651.199951171875,1
1,0,1,1,16,1,0,2,0,0,0,0,0,0,0,0,2,20.399999618530277,321.3999938964844,0
0,0,1,0,43,1,0,1,1,0,1,1,0,0,1,1,0,84.25,3539.25,0
1,0,1,0,2,1,1,1,0,0,1,1,1,1,0,1,2,104.4000015258789,242.8000030517578,1
0,0,1,0,14,1,0,0,0,1,1,1,1,1,2,0,3,81.94999694824219,1181.75,0
1,0,1,0,53,1,0,1,0,0,1,0,1,1,1,1,0,94.8499984741211,5000.2001953125,1
1,0,0,0,32,1,0,2,0,0,0,0,0,0,1,0,0,20.549999237060547,654.5499877929688,0
1,0,1,0,34,1,1,2,0,0,0,0,0,0,0,0,2,24.700000762939453,780.2000122070312,0
1,1,0,0,15,1,1,1,0,0,0,0,0,0,0,1,3,74.44999694824219,1145.699951171875,1
1,1,0,0,7,1,0,1,1,0,0,0,0,0,0,0,0,76.44999694824219,503.6000061035156,1
1,0,1,1,15,1,1,1,0,1,1,0,1,1,0,1,0,105.3499984741211,1559.25,0
0,0,1,0,61,1,0,2,0,0,0,0,0,0,1,1,1,20.549999237060547,1252.0,0
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,29.950000762939453,29.950000762939453,1
1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,45.29999923706055,45.29999923706055,0
0,0,0,0,8,1,1,1,0,0,0,0,0,1,0,0,0,84.5,662.6500244140625,1
0,0,1,1,33,1,0,0,1,0,1,0,1,1,1,0,1,74.75,2453.300048828125,0
1,0,0,0,13,1,0,1,0,1,1,0,0,0,0,1,2,79.25,1111.6500244140625,1
1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,2,24.799999237060547,24.799999237060547,1
0,0,0,0,20,1,0,0,0,1,0,0,0,0,0,1,3,51.79999923706055,1023.8499755859376,0
0,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,2,30.399999618530277,82.1500015258789,0
1,0,0,0,13,1,0,2,0,0,0,0,0,0,1,0,2,19.649999618530277,244.8000030517578,0
1,0,1,0,40,1,1,0,0,1,0,0,0,0,0,0,1,56.59999847412109,2379.10009765625,0
0,0,1,1,43,1,1,0,1,0,0,1,0,1,1,1,1,71.9000015258789,3173.35009765625,0
0,0,1,0,6,1,0,1,0,1,1,0,0,1,0,1,2,91.0,531.0,1
1,0,1,1,69,1,0,2,0,0,0,0,0,0,2,0,0,19.75,1375.4000244140625,0
1,0,1,1,72,1,1,1,1,1,1,0,1,1,2,0,1,109.6999969482422,8129.2998046875,0
0,0,1,1,59,1,0,2,0,0,0,0,0,0,2,0,1,19.299999237060547,1192.699951171875,0
1,0,1,0,20,1,0,1,1,1,0,1,1,0,0,1,2,96.5500030517578,1901.6500244140625,0
0,0,1,1,24,1,1,2,0,0,0,0,0,0,2,1,0,24.100000381469727,587.4000244140625,0
0,0,0,0,59,1,1,1,0,1,1,1,1,1,0,1,2,111.3499984741211,6519.75,0
0,0,1,1,72,1,1,1,0,1,1,1,1,1,2,1,0,112.25,8041.64990234375,0
0,0,0,1,1,1,0,2,0,0,0,0,0,0,0,0,3,20.75,20.75,0
1,0,1,0,27,1,0,1,1,0,0,1,1,1,1,1,1,101.9000015258789,2681.14990234375,0
1,0,0,0,14,1,0,1,0,1,0,1,0,0,0,1,1,80.05000305175781,1112.300048828125,0
0,0,1,1,71,1,1,1,1,0,1,0,1,1,2,0,2,105.5500030517578,7405.5,0
0,0,0,1,13,1,0,1,0,0,0,0,1,0,0,1,1,78.30000305175781,1033.949951171875,0
0,0,0,0,44,1,0,1,0,0,0,0,0,0,0,0,1,68.8499984741211,2958.949951171875,0
1,0,0,0,33,1,0,1,0,1,0,1,0,0,1,1,0,79.94999694824219,2684.85009765625,0
0,0,1,1,72,0,0,0,1,1,1,1,0,1,2,1,1,55.45000076293945,4179.2001953125,0
0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,2,79.9000015258789,79.9000015258789,1
1,0,0,0,19,1,0,1,1,0,1,1,1,1,0,1,2,106.5999984741211,1934.449951171875,1
0,0,1,0,64,1,0,1,0,1,1,1,1,1,1,1,1,102.4499969482422,6654.10009765625,0
0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,1,46.0,84.5,1
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,25.25,25.25,0
0,0,0,1,61,1,0,2,0,0,0,0,0,0,2,0,3,19.75,1124.199951171875,0
1,0,1,1,29,1,0,2,0,0,0,0,0,0,1,0,2,20.0,540.0499877929688,0
0,1,1,0,23,1,1,1,0,0,0,0,0,1,0,0,2,86.80000305175781,1975.8499755859373,0
1,0,1,0,57,0,0,0,1,1,1,0,1,1,0,1,0,58.75,3437.449951171875,0
0,0,1,1,72,0,0,0,1,1,1,1,0,0,2,0,1,45.25,3139.800048828125,0
0,0,1,0,66,0,0,0,1,1,1,1,1,0,2,1,0,56.59999847412109,3789.199951171875,0
0,0,1,1,65,1,1,0,0,1,1,1,1,1,2,1,0,84.19999694824219,5324.5,0
1,0,0,0,8,1,0,1,0,0,0,0,1,0,0,1,0,80.0,624.5999755859375,0
1,0,0,0,4,1,0,1,0,0,0,0,0,0,0,1,2,70.1500015258789,268.3500061035156,1
1,0,1,0,71,1,1,2,0,0,0,0,0,0,2,0,0,24.75,1836.9000244140625,0
0,0,1,1,1,1,0,2,0,0,0,0,0,0,1,1,2,20.200000762939453,20.200000762939453,0
0,0,1,0,4,1,0,0,0,0,0,1,0,0,0,0,3,50.04999923706055,179.35000610351562,1
1,0,0,0,12,1,0,2,0,0,0,0,0,0,1,1,0,19.350000381469727,219.3500061035156,0
0,0,0,0,24,0,0,0,1,0,0,0,1,1,1,1,3,50.59999847412109,1288.75,0
1,0,1,1,31,1,0,0,1,0,1,1,1,1,1,1,3,81.1500015258789,2545.75,0
1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,3,55.20000076293945,55.20000076293945,1
0,0,0,0,30,1,1,1,0,0,0,1,0,1,0,1,1,89.9000015258789,2723.14990234375,0
1,0,1,1,47,1,1,0,1,1,0,1,1,1,2,1,1,85.30000305175781,4107.25,0
0,0,0,0,54,1,1,1,1,1,0,1,1,1,2,1,1,108.0,5760.64990234375,0
0,0,0,0,50,1,0,1,1,1,0,1,0,1,0,1,1,93.5,4747.5,0
0,0,0,0,1,1,0,1,1,0,0,0,0,1,0,1,3,84.5999984741211,84.5999984741211,1
1,0,0,0,72,1,0,2,0,0,0,0,0,0,2,0,1,20.25,1566.9000244140625,0
1,0,0,0,29,1,1,2,0,0,0,0,0,0,0,0,2,25.149999618530277,702.0,0
0,0,0,0,2,1,1,0,0,1,0,0,0,0,0,1,3,54.400001525878906,114.0999984741211,1
1,0,0,0,10,0,0,0,0,0,0,1,0,0,2,1,3,29.600000381469727,299.04998779296875,0
0,0,1,0,18,1,1,1,0,0,0,0,0,0,0,1,2,73.1500015258789,1305.949951171875,0
1,1,0,0,11,1,0,1,0,1,0,0,1,1,0,1,2,95.0,1120.300048828125,1
0,0,0,0,16,1,0,2,0,0,0,0,0,0,2,0,3,19.75,284.3500061035156,0
1,0,0,0,72,1,1,0,0,1,1,1,1,1,2,0,0,86.5999984741211,6350.5,0
0,0,0,0,72,1,1,1,0,1,1,1,1,1,2,0,0,109.1999969482422,7878.2998046875,0
1,0,1,1,41,1,0,0,1,0,0,1,1,1,1,1,1,74.69999694824219,3187.64990234375,0
1,1,1,0,65,1,0,1,1,1,1,0,0,1,0,0,2,94.4000015258789,6126.14990234375,0
1,1,0,0,13,1,0,0,0,1,1,0,0,0,0,1,2,54.79999923706055,731.2999877929688,0
0,1,0,0,4,1,0,1,1,0,0,0,0,0,0,0,2,75.3499984741211,273.3999938964844,0
0,0,0,0,41,1,1,0,0,0,1,0,0,1,1,0,3,65.0,2531.800048828125,0
0,1,0,0,15,1,0,1,0,1,0,0,0,0,0,1,2,74.4000015258789,1074.300048828125,1
0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,3,48.54999923706055,48.54999923706055,1
0,0,0,0,42,1,1,1,1,1,1,0,0,1,1,1,2,99.0,4298.4501953125,0
1,0,1,0,51,1,0,1,1,1,1,0,1,0,1,1,2,93.5,4619.5498046875,0
1,0,1,1,2,1,0,1,0,0,0,0,0,0,0,0,2,70.4000015258789,147.14999389648438,1
0,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,2,40.20000076293945,40.20000076293945,1
0,0,0,1,32,1,1,0,0,1,1,1,1,1,1,0,1,83.69999694824219,2633.300048828125,0
0,0,0,0,10,1,0,2,0,0,0,0,0,0,0,1,3,19.850000381469727,193.0500030517578,0
1,0,1,1,67,0,0,0,0,1,1,1,1,1,2,1,2,59.54999923706055,4103.89990234375,0
1,0,1,1,61,1,1,1,1,1,1,1,1,1,2,0,1,115.0999984741211,7008.14990234375,0
0,0,0,0,50,1,1,1,1,1,1,1,1,1,1,0,1,114.3499984741211,5791.10009765625,0
1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,1,44.59999847412109,80.55000305175781,1
1,1,1,0,29,0,0,0,1,0,1,0,0,1,0,1,2,45.0,1228.6500244140625,0
0,1,0,0,3,0,0,0,0,0,1,0,0,1,0,1,2,41.150001525878906,132.1999969482422,1
0,1,0,0,13,1,1,1,0,1,1,0,1,1,0,1,2,106.9000015258789,1364.300048828125,1
0,1,1,0,57,1,1,1,0,1,0,0,0,1,0,1,2,89.8499984741211,4925.35009765625,0
1,0,0,0,31,0,0,0,1,1,0,1,0,1,2,1,0,49.84999847412109,1520.0999755859375,0
1,0,1,0,45,1,1,1,1,1,1,1,1,1,1,0,3,113.3000030517578,5032.25,0
1,0,1,1,61,1,1,0,1,1,1,1,1,1,2,0,3,88.0999984741211,5526.75,0
0,0,0,0,50,1,1,2,0,0,0,0,0,0,2,0,0,24.899999618530277,1195.25,0
1,1,0,0,19,1,0,1,1,1,0,1,1,1,0,1,3,105.0,2007.25,0
0,0,0,0,59,1,0,2,0,0,0,0,0,0,2,0,3,19.350000381469727,1099.5999755859375,1
1,0,1,0,71,1,1,2,0,0,0,0,0,0,2,1,1,24.25,1732.949951171875,0
1,1,0,0,16,1,0,1,0,0,0,1,1,1,0,1,2,94.4499969482422,1511.199951171875,1
0,0,1,0,57,1,0,0,1,1,0,1,0,0,2,1,2,59.75,3450.14990234375,0
